question,answer,course_codes,page_ref,clause_ref,note
วิชาหมวดวิชาเฉพาะ กลุ่มวิชาแกน ของ DSBA มีกี่หน่วยกิต และมีวิชาอะไรบ้าง (ตัวอย่าง 3 วิชาแรก),"45 หน่วยกิต ตัวอย่างวิชา: แคลคูลัส 1, พีชคณิตเชิงเส้น, และวิชาอื่น ๆ ในกลุ่มวิชาแกน","06026200, 06026202",17,-,
วิชาการแก้ปัญหาและโปรแกรมคอมพิวเตอร์ (06066303) มีหน่วยกิตเท่าไหร่ อยู่ปี/เทอมไหน และเป็นวิชาประเภทใด,3(2-2-5) หน่วยกิต เรียนปี 1 ภาคการศึกษาที่ 1 เป็นวิชาบังคับ,06066303,18,-,
ความฉลาดทางดิจิทัล (90641002) จัดอยู่ในหมวดวิชาใดของหลักสูตร DSBA,หมวดวิชาศึกษาทั่วไป,90641002,16,-,
ระหว่างวิชาแคลคูลัส 1 (06026200) กับวิชาพีชคณิตเชิงเส้น (06026202) วิชาใดเป็นวิชาเลือก,ไม่มี ทั้งสองวิชาเป็นวิชาบังคับทั้งคู่ (อยู่ในกลุ่มวิชาแกน),"06026200, 06026202",17,-,
กลุ่มวิชาชีพเฉพาะด้านของ DSBA ต้องเก็บกี่หน่วยกิต และมีลักษณะการเลือกอย่างไร,ต้องเก็บ 12 หน่วยกิต โดยเลือกจากรายวิชาเฉพาะทางที่เปิดให้เลือกจำนวนมาก (เช่น กลุ่มวิทยาการข้อมูล กลุ่มวิเคราะห์เชิงสถิติ กลุ่มวิศวกรรมข้อมูล) ไม่ต้องเรียนครบทุกวิชาในกลุ่ม,"06026216, 06026217",19,-,
วิชาการสร้างคลังข้อมูล (06026212) ต้องผ่านวิชาอะไรมาก่อน,06066300 (แนวคิดระบบฐานข้อมูล / DATABASE SYSTEM CONCEPTS),06026212,18,-,
วิชาแคลคูลัส 2 มีวิชาบังคับก่อนหรือไม่ ถ้ามีคือวิชาอะไร,มี ต้องผ่านวิชาแคลคูลัส 1 (06026200) มาก่อน,"06026201, 06026200",17,-,
วิชาปัญญาประดิษฐ์ (06026216) เป็นวิชาบังคับหรือเลือก และอยู่หมวดวิชาใด,เป็นวิชาเลือก อยู่หมวดวิชาเฉพาะ (กลุ่มวิชาชีพเฉพาะด้าน ที่เลือกเก็บ 12 จาก 34+ วิชาที่เปิดให้เลือก),06026216,19,-,
วิชาโรงเรียนสร้างเสน่ห์ (90641001) มีวิชาบังคับก่อนหรือไม่,ไม่มี,90641001,16,-,
การแก้ปัญหาและโปรแกรมคอมพิวเตอร์ (06066303) กับ การโปรแกรมคอมพิวเตอร์ (06026203) เป็นวิชาบังคับทั้งคู่หรือไม่,ใช่ ทั้งสองวิชาเป็นวิชาบังคับ,"06066303, 06026203","17, 18",-,
หลักสูตร DSBA ต้องเรียนครบกี่หน่วยกิตจึงจะสำเร็จการศึกษา,132 หน่วยกิต,,,-,อ้างอิงหน้า 2 (ไม่มีเลขข้อ เป็นข้อความสรุปโครงสร้างหลักสูตร ไม่ใช่ข้อบังคับสถาบัน)
นักศึกษาที่ได้เกรดเฉลี่ยสะสมต่ำกว่าเท่าไหร่ ต้องถูกภาคทัณฑ์,ต่ำกว่า 2.00,,,ข้อ 22,อ้างอิงหน้า 94
เกณฑ์ขั้นต่ำของเกรดเฉลี่ยสะสมเพื่อสำเร็จการศึกษาคือเท่าไหร่,ไม่ต่ำกว่า 2.00,,,ข้อ 25,อ้างอิงหน้า 94
นักศึกษาที่จะได้เกียรตินิยมอันดับ 1 (ไม่รวมเหรียญทอง) ต้องมีเกรดเฉลี่ยสะสมอย่างน้อยเท่าไหร่,ไม่ต่ำกว่า 3.50,,,-,อ้างอิงหน้า 95
การลงทะเบียนเรียนในภาคการศึกษาปกติ ลงได้ต่ำสุด-สูงสุดกี่หน่วยกิต,ไม่น้อยกว่า 9 และไม่เกิน 22 หน่วยกิต,,,ข้อ 11,อ้างอิงหน้า 91-92
